date,open,high,low,close,volume,adjusted
2018-12-03,280.279999,280.399994,277.51001,279.299988,103176300,277.678436
2018-12-04,278.369995,278.850006,269.899994,270.25,177986000,268.681
2018-12-06,265.920013,269.970001,262.440002,269.839996,204185400,268.273376
2018-12-07,269.459991,271.220001,262.630005,263.570007,161018900,262.039795
2018-12-10,263.369995,265.160004,258.619995,264.070007,151445900,262.536896
2018-12-11,267.660004,267.869995,262.480011,264.130005,121504400,262.596527
2018-12-12,267.470001,269,265.369995,265.459991,97976700,263.918793
2018-12-13,266.519989,267.48999,264.119995,265.369995,96662700,263.829315
2018-12-14,262.959991,264.029999,259.850006,260.470001,116961100,258.957794
2018-12-17,259.399994,260.649994,253.529999,255.360001,165492300,253.877457
2018-12-18,257.200012,257.950012,253.279999,255.080002,134515100,253.599075
2018-12-19,255.169998,259.399994,249.350006,251.259995,214992800,249.801239
2018-12-20,249.860001,251.619995,244.649994,247.169998,252053400,245.735001
2018-12-21,246.740005,249.710007,239.979996,240.699997,255345600,240.699997
2018-12-24,239.039993,240.839996,234.270004,234.339996,147311600,234.339996
2018-12-26,235.970001,246.179993,233.759995,246.179993,218485400,246.179993
2018-12-27,242.570007,248.289993,238.960007,248.070007,186267300,248.070007
2018-12-28,249.580002,251.399994,246.449997,247.75,153100200,247.75
